athlete_id,athlete_name,gender,age,date_of_birth,nationality,country_name,sport,event,games_type,year,host_city,team_or_individual,medal,result_value,result_unit,total_olympics_attended,total_medals_won,gold_medals,silver_medals,bronze_medals,country_total_gold,country_total_medals,country_first_participation,country_best_rank,is_record_holder,coach_name,height_cm_bad,weight_kg_bad,notes,height_cm,weight_kg
ATH-00773,Hans Wiśniewski,Male,32,12/14/1992,BUL,Bulgaria,Boxing,Bantamweight,Summer,1920,Antwerp,Individual,Gold,4.711,points,4,4,2,1,1,54,224,1896,15,No,Bob Bowman,176.8,58.5,Disqualified (false start),1.64716E-77,3.9244E-26
ATH-00774,Vikram Huseynov,Male,26,9/9/1998,FIN,Finland,Wrestling,Greco-Roman 77kg,Summer,2004,Athens,Individual,Gold,2.326,points,1,2,2,0,0,161,459,1908,3,No,Wei Ping,178.7,73.6,First from country,2.46363E-78,1.08624E-32
ATH-00775,Paul Nozadze,Male,36,5/19/1988,GBR,Great Britain,Athletics,Triple Jump,Summer,1912,Stockholm,Individual,Gold,147.418,seconds,4,2,1,0,1,285,896,1896,2,No,Béla Károlyi,197,65.4,Disqualified (false start),2.77963E-86,3.95495E-29
ATH-00776,George Li,Male,42,9/5/1982,RSA,South Africa,Figure Skating,Men's Singles,Winter,1998,Nagano,Individual,No Medal,190.562,points,4,1,0,0,1,23,90,1904,30,No,Lauren Lynde,182.7,57.7,Youngest competitor,4.5123E-80,8.7339E-26
ATH-00777,Linda Volkov,Female,36,12/12/1988,CUB,Cuba,Gymnastics (Artistic),Balance Beam,Summer,2020,Tokyo,Individual,No Medal,13.829,points,5,3,1,1,1,82,226,1900,8,No,Hiroshi Hoketsu,178.2,57.8,Disqualified (false start),4.06184E-78,7.90276E-26
ATH-00778,Karolina Clark,Female,28,10/1/1996,TUR,Turkey,Diving,10m Synchronized Platform M,Summer,2004,Athens,Individual,Gold,477.558,points,3,2,1,0,1,40,99,1908,22,No,Marcus O'Sullivan,163.3,57,Weather-affected,1.20146E-71,1.75879E-25
ATH-00779,Nisha Karimov,Female,37,9/22/1987,ARG,Argentina,Alpine Skiing,Combined W,Winter,1968,Grenoble,Individual,No Medal,248.14,seconds,1,2,1,1,0,23,77,1920,30,No,John Smith,181.7,99,Equipment issue,1.22657E-79,1.01122E-43
ATH-00780,Iryna Amiranashvili,Female,22,6/11/2002,ROM,Romania,Triathlon,Men's Triathlon,Summer,2024,Paris,Individual,No Medal,4602.859,seconds,3,5,2,1,2,89,307,1924,8,No,Tadashi Suzuki,179.6,66.1,Withdrew - injury,1.00164E-78,1.96397E-29
ATH-00781,Sakura Shah,Female,37,9/18/1987,VEN,Venezuela,Football (Soccer),Women's Football,Summer,2016,Rio de Janeiro,Team,Bronze,11.849,goals,3,7,2,0,5,2,14,1948,58,No,Glen Mills,183.4,66.2,-,2.24074E-80,1.77707E-29
ATH-00782,Alexandra Bernard,Female,33,8/18/1991,KOR,South Korea,Freestyle Skiing,Big Air M,Winter,1976,Innsbruck,Individual,Silver,50.147,points,4,2,1,1,0,99,266,1948,5,No,Gennadi Touretski,184.4,89.4,Photo-finish silver,8.24323E-81,1.49305E-39
ATH-00783,Agnieszka Davaadorj,Female,28,4/9/1996,UKR,Ukraine,Curling,Men's Curling,Winter,1998,Nagano,Team,No Medal,2.992,points,4,7,1,3,3,46,132,1996,22,No,Virgilijus Alekna,176.6,69.8,Season Best,2.01184E-77,4.85563E-31
ATH-00784,Dorothy Babayev,Female,32,5/5/1992,CHN,China,Gymnastics (Artistic),Pommel Horse,Summer,2020,Tokyo,Individual,No Medal,16.396,points,5,6,1,0,5,263,636,1932,1,No,Jon Drummond,147.1,43.9,Youngest competitor,1.30401E-64,8.59948E-20
ATH-00785,Camelia Alves,Female,41,4/5/1983,HUN,Hungary,Diving,3m Springboard M,Summer,1906,Athens,Individual,No Medal,584.066,points,4,5,1,1,3,182,536,1896,5,No,Anna Tarkhanova,161.1,67.7,-,1.08432E-70,3.96519E-30
ATH-00786,Anthony Schneider,Male,42,7/8/1982,ARG,Argentina,Triathlon,Men's Triathlon,Summer,2016,Rio de Janeiro,Individual,No Medal,4772.278,seconds,3,2,0,0,2,23,77,1920,30,No,Khristo Hristov,166.4,61.4,First from country,5.4125E-73,2.15933E-27
ATH-00787,Denys Phelps,Male,28,12/15/1996,NED,Netherlands,Bobsled,2-woman W,Winter,1956,Cortina d'Ampezzo,Team,Silver,217.307,seconds,1,7,6,1,0,121,380,1900,7,No,Virgilijus Alekna,186.2,83.6,-,1.3626E-81,4.93153E-37
ATH-00788,Monika Adeyemi,Female,41,8/20/1983,URS,Soviet Union,Biathlon,Mass Start M,Winter,1972,Sapporo,Individual,No Medal,2003.112,seconds,4,1,1,0,0,473,1122,1952,1,No,Renato Canova,169.6,69.6,First from country,2.20626E-74,5.93067E-31
ATH-00789,Vikram Davis,Male,27,10/12/1997,DEN,Denmark,Skeleton,Women's Skeleton,Winter,1924,Chamonix,Individual,No Medal,82.741,seconds,4,7,6,1,0,66,260,1896,10,No,Gennadi Touretski,165.7,71.5,Photo-finish silver,1.08994E-72,8.87043E-32
ATH-00790,Denys Taylor,Male,27,6/2/1997,HUN,Hungary,Volleyball,Women's Indoor Volleyball,Summer,1904,St. Louis,Team,Silver,28.3,points,5,2,0,2,0,182,536,1896,5,No,Jon Drummond,172,68.2,Final Appearance,2.00147E-75,2.40501E-30
ATH-00791,Julien Rodriguez,Male,20,9/3/2004,FIN,Finland,Luge,Women's Singles,Winter,1964,Innsbruck,Team,No Medal,83.909,seconds,5,0,0,0,0,161,459,1908,3,No,Alberto Salazar,177.1,75.8,-,1.22025E-77,1.20359E-33
ATH-00792,Yuna Aliyev,Female,18,8/18/2006,FRA,France,Weightlifting,89kg,Summer,1900,Paris,Individual,No Medal,190.128,kg,2,2,2,0,0,248,844,1896,3,No,Bao Chünlai,186.5,85.9,Personal Best,1.00944E-81,4.94429E-38
ATH-00793,Donna Sato,Female,16,8/5/2008,GER,Germany,Short Track Speed Skating,1500m M,Winter,1994,Lillehammer,Team,No Medal,331.933,seconds,4,5,4,1,0,275,854,1896,2,No,Khristo Hristov,164.6,57.3,Season Best,3.27437E-72,1.30295E-25
ATH-00794,Franz Constantin,Male,31,8/22/1993,AUS,Australia,Weightlifting,96kg,Summer,1920,Antwerp,Individual,No Medal,381.425,kg,5,6,4,1,1,170,554,1896,4,No,Vladimir Alekna,169.2,112.5,Equipment issue,3.29135E-74,1.38634E-49
ATH-00795,Kimberly Taylor,Female,21,2/20/2003,BEL,Belgium,Ski Jumping,Normal Hill Team,Winter,1952,Oslo,Individual,No Medal,92.916,metres,4,1,1,0,0,43,158,1900,20,World Record,Arthur Lydiard,170.5,48.6,-,8.96997E-75,7.82147E-22
ATH-00796,Sun Romano,Male,27,4/5/1997,TPE,Chinese Taipei,Basketball,Men's Basketball,Summer,1996,Atlanta,Team,No Medal,40.295,points,4,7,4,3,0,7,25,1956,45,No,Arthur Lydiard,191,97.9,Season Best,1.12138E-83,3.03788E-43
ATH-00797,Gunther Kumar,Male,16,6/15/2008,RSA,South Africa,Diving,10m Synchronized Platform M,Summer,1904,St. Louis,Individual,No Medal,416.988,points,3,6,0,4,2,23,90,1904,30,No,Li Yongbo,165.6,64.4,Photo-finish silver,1.20457E-72,1.07507E-28
ATH-00798,Walter Hakobyan,Male,20,1/4/2004,NOR,Norway,Weightlifting,67kg,Summer,1912,Stockholm,Individual,No Medal,259.943,kg,1,8,4,0,4,148,392,1900,2,No,Marcus O'Sullivan,175.4,114.9,-,6.67956E-77,1.25766E-50
ATH-00799,Anna Gupta,Female,16,9/19/2008,THA,Thailand,Curling,Men's Curling,Winter,1976,Innsbruck,Team,No Medal,1.74,points,5,7,6,0,1,13,35,1952,40,No,Bao Chünlai,186.9,87.7,First from country,6.76646E-82,8.17286E-39
ATH-00800,Naira Martin,Female,19,3/25/2005,EGY,Egypt,Biathlon,Mass Start M,Winter,2014,Sochi,Team,Silver,1827.886,seconds,2,6,2,3,1,8,28,1912,45,No,Arthur Lydiard,164.3,69.2,Final Appearance,4.41994E-72,8.84753E-31
ATH-00801,Yuki Smith,Female,17,3/28/2007,CZE,Czech Republic,Luge,Men's Singles,Winter,1998,Nagano,Individual,No Medal,65.364,seconds,4,7,1,1,5,32,114,1996,28,No,Virgilijus Alekna,190.5,65,Record broken next day,1.84885E-83,5.90009E-29
ATH-00802,Tamar Perez,Female,31,3/22/1993,ROM,Romania,Speed Skating,3000m W,Winter,1992,Albertville,Individual,No Medal,323.425,seconds,2,8,4,4,0,89,307,1924,8,No,Jon Drummond,170.2,58.8,Photo-finish silver,1.21082E-74,2.90726E-26
ATH-00803,Dorothy Yang,Female,32,4/28/1992,ESP,Spain,Ice Hockey,Men's Ice Hockey,Winter,1928,St. Moritz,Team,No Medal,4.952,goals,1,3,3,0,0,50,170,1900,18,No,Andrei Chemerkin,190.9,91.2,Record broken next day,1.23932E-83,2.46799E-40
ATH-00804,Natsuki Bondarenko,Male,36,2/25/1988,HUN,Hungary,Fencing,Epee Individual W,Summer,1900,Paris,Team,No Medal,5.673,touches,4,0,0,0,0,182,536,1896,5,No,Jon Drummond,167.5,73.9,Technical violation,1.80167E-73,8.04707E-33
ATH-00805,Romain Kowalski,Male,42,4/10/1982,GRE,Greece,Freestyle Skiing,Half-Pipe M,Winter,1992,Albertville,Individual,No Medal,53.73,points,5,2,1,0,1,34,116,1896,10,No,Virgilijus Alekna,169.8,68.2,-,1.80633E-74,2.40501E-30
ATH-00806,Karolina Johnson,Female,40,12/21/1984,IND,India,Athletics,1500m Run,Summer,1904,St. Louis,Individual,No Medal,116.046,seconds,1,0,0,0,0,10,35,1900,48,No,Bao Chünlai,170.3,109.1,-,1.09559E-74,4.15405E-48
ATH-00807,William Sato,Male,24,6/4/2000,CZE,Czech Republic,Cross-Country Skiing,Sprint M,Winter,2014,Sochi,Individual,No Medal,1101.715,seconds,2,1,0,0,1,32,114,1996,28,No,Khristo Hristov,188.3,84.6,-,1.66859E-82,1.81421E-37
ATH-00808,Donna Garcia,Female,29,10/28/1995,NGR,Nigeria,Weightlifting,81kg,Summer,2020,Tokyo,Individual,Silver,267.688,kg,5,8,1,7,0,13,32,1952,40,No,Glen Mills,164,82,-,5.9663E-72,2.4426E-36
ATH-00809,Maria Wanjiku,Female,28,4/26/1996,ESP,Spain,Skeleton,Women's Skeleton,Winter,1988,Calgary,Individual,No Medal,56.93,seconds,2,3,1,1,1,50,170,1900,18,No,Dan Pfaff,184.1,61.7,Olympic Debut,1.11272E-80,1.59967E-27
ATH-00810,Franz Silva,Male,37,6/19/1987,JPN,Japan,Bobsled,4-man M,Winter,1948,St. Moritz,Team,No Medal,184.149,seconds,5,6,3,0,3,170,497,1912,3,No,Hiroshi Hoketsu,191.9,85.1,Season Best,4.5592E-84,1.10037E-37
ATH-00811,Alejandro Garcia,Male,16,1/27/2008,JAM,Jamaica,Speed Skating,Mass Start W,Winter,1952,Oslo,Individual,No Medal,512.736,seconds,4,6,1,3,2,28,94,1948,22,No,Anna Tarkhanova,184.1,72.7,-,1.11272E-80,2.67172E-32
ATH-00812,James Sato,Male,23,7/3/2001,CUB,Cuba,Luge,Team Relay,Winter,2014,Sochi,Individual,No Medal,185.911,seconds,2,5,1,0,4,82,226,1900,8,No,Arthur Lydiard,170.2,83.4,Season Best,1.21082E-74,6.02338E-37
ATH-00813,Alina Kumar,Female,25,1/4/1999,ESP,Spain,Athletics,Long Jump,Summer,2008,Beijing,Individual,No Medal,223.466,seconds,2,8,3,1,4,50,170,1900,18,No,Andrei Socaci,178.3,91.2,First from country,3.67531E-78,2.46799E-40
ATH-00814,Kiran Kovalev,Male,32,5/18/1992,AUT,Austria,Tennis,Women's Doubles,Summer,1920,Antwerp,Individual,Gold,3.373,sets,5,6,1,3,2,59,196,1896,18,No,Sandor Szabo,185.8,86.7,-,2.03276E-81,2.22161E-38
ATH-00815,Vikram Dupont,Male,24,11/28/2000,CUB,Cuba,Archery,Individual M,Summer,2024,Paris,Individual,No Medal,254.339,points,1,4,3,1,0,82,226,1900,8,World Record,Lauren Lynde,178.5,56.6,National Record,3.00909E-78,2.62381E-25
ATH-00816,Jennifer Sargsyan,Female,42,12/26/1982,AZE,Azerbaijan,Triathlon,Mixed Relay,Summer,2000,Sydney,Individual,No Medal,4040.312,seconds,5,0,0,0,0,7,29,1996,45,No,Percy Cerutty,184.2,62.8,-,1.00683E-80,5.32484E-28
ATH-00817,John Kiros,Male,17,6/21/2007,RSA,South Africa,Biathlon,Mass Start M,Winter,1952,Oslo,Individual,No Medal,2314.266,seconds,3,0,0,0,0,23,90,1904,30,No,Alberto Salazar,168.4,68.8,-,7.32503E-74,1.3199E-30
ATH-00818,Valentina Mammadov,Female,37,9/21/1987,FRA,France,Volleyball,Men's Indoor Volleyball,Summer,1912,Stockholm,Team,Gold,23.961,points,2,3,1,0,2,248,844,1896,3,No,Glen Mills,172.6,95.8,Olympic Debut,1.09843E-75,2.48078E-42
ATH-00819,Agnieszka Cherono,Female,30,11/20/1994,ITA,Italy,Bobsled,Monobob W,Winter,1972,Sapporo,Team,No Medal,229.429,seconds,2,5,0,2,3,247,753,1900,4,No,Khristo Hristov,181.6,79.5,National Record,1.35557E-79,2.9757E-35
ATH-00820,Mei Tediashvili,Female,41,12/18/1983,AUS,Australia,Weightlifting,73kg,Summer,1904,St. Louis,Individual,No Medal,412.546,kg,4,5,0,2,3,170,554,1896,4,No,Percy Cerutty,186.7,96.1,Withdrew - injury,8.26457E-82,1.83781E-42
ATH-00821,Halyna Martinez,Female,38,4/27/1986,BEL,Belgium,Volleyball,Women's Beach Volleyball,Summer,1906,Athens,Team,No Medal,16.323,points,3,7,6,1,0,43,158,1900,20,World Record,Franz Stampfl,178,66.7,Personal Best,4.96115E-78,1.07785E-29
ATH-00822,Siranush Johnson,Female,25,8/3/1999,BUL,Bulgaria,Speed Skating,1500m M,Winter,2010,Vancouver,Individual,No Medal,160.776,seconds,5,8,8,0,0,54,224,1896,15,No,Virgilijus Alekna,167.3,76.3,-,2.20056E-73,7.30014E-34
ATH-00823,Maria Taylor,Female,42,2/2/1982,CUB,Cuba,Alpine Skiing,Combined M,Winter,1960,Squaw Valley,Individual,No Medal,351.165,seconds,4,2,2,0,0,82,226,1900,8,No,Andrei Socaci,190,71.2,Comeback after injury,3.04823E-83,1.19738E-31
ATH-00824,Tirunesh Davis,Female,15,5/11/2009,DEN,Denmark,Weightlifting,67kg,Summer,1996,Atlanta,Individual,No Medal,398.8,kg,3,2,2,0,0,66,260,1896,10,No,Béla Károlyi,159.5,147.6,Disqualified (false start),5.37069E-70,7.90923E-65
ATH-00825,Nikolai Jackson,Male,23,5/27/2001,GEO,Georgia,Shooting,Trap W,Summer,2004,Athens,Individual,No Medal,154.481,points,1,1,1,0,0,7,30,1996,44,No,Arthur Lydiard,189.5,85.1,National Record,5.02569E-83,1.10037E-37
ATH-00826,Brian Martinez,Male,18,10/1/2006,DPR,North Korea,Biathlon,Pursuit M,Winter,1964,Innsbruck,Team,No Medal,1580.42,seconds,4,0,0,0,0,16,54,1964,35,No,Hiroshi Hoketsu,180.3,67.8,-,4.97399E-79,3.58785E-30
ATH-00827,Haile Lee,Male,38,12/5/1986,SRB,Serbia,Boxing,Featherweight,Summer,2008,Beijing,Individual,No Medal,3.307,points,1,8,3,3,2,10,36,2008,40,No,Bao Chünlai,184.3,85.6,Withdrew - injury,9.11018E-81,6.67409E-38
ATH-00828,Rahul Park,Male,34,11/13/1990,KOR,South Korea,Freestyle Skiing,Half-Pipe M,Winter,1998,Nagano,Individual,No Medal,76.025,points,4,4,2,0,2,99,266,1948,5,No,Khristo Hristov,189.2,69.4,Olympic Debut,6.78397E-83,7.24374E-31
ATH-00829,Mary Gebremariam,Female,27,10/7/1997,EGY,Egypt,Ski Jumping,Normal Hill Team,Winter,1964,Innsbruck,Team,No Medal,128.417,metres,2,2,2,0,0,8,28,1912,45,No,Tadashi Suzuki,166.3,49,First from country,5.98174E-73,5.24289E-22
ATH-00830,Vahram Smith,Male,35,4/23/1989,NOR,Norway,Football (Soccer),Men's Football,Summer,1906,Athens,Team,No Medal,10.865,goals,3,0,0,0,0,148,392,1900,2,No,Li Yongbo,169.6,64.3,Comeback after injury,2.20626E-74,1.18813E-28
ATH-00831,Sifan Petrov,Female,42,11/5/1982,ETH,Ethiopia,Alpine Skiing,Slalom M,Winter,1984,Sarajevo,Individual,No Medal,156.936,seconds,4,3,1,1,1,25,57,1956,30,No,Glen Mills,188.6,77.5,Season Best,1.23612E-82,2.19876E-34
ATH-00832,Yuki Haile,Female,18,5/5/2006,MEX,Mexico,Cycling,Omnium,Summer,2012,London,Individual,No Medal,8820.01,seconds,4,6,6,0,0,14,72,1924,35,No,Hiroshi Hoketsu,189.2,70.9,Technical violation,6.78397E-83,1.6163E-31
ATH-00833,Alexandra Adeyemi,Female,23,3/16/2001,TPE,Chinese Taipei,Bobsled,4-man M,Winter,1956,Cortina d'Ampezzo,Team,No Medal,153.935,seconds,4,2,0,0,2,7,25,1956,45,No,Dan Pfaff,181.5,119.3,Olympic Debut,1.49814E-79,1.54407E-52
ATH-00834,Svetlana Fraser-Pryce,Female,23,11/17/2001,ESP,Spain,Triathlon,Women's Triathlon,Summer,2012,London,Individual,No Medal,4528.318,seconds,2,0,0,0,0,50,170,1900,18,No,Yury Zakharevich,191.8,61.8,-,5.0387E-84,1.44744E-27
ATH-00835,Patrick Davis,Male,25,12/25/1999,ARG,Argentina,Judo,Heavyweight,Summer,2008,Beijing,Individual,No Medal,7.877,ippon,2,0,0,0,0,23,77,1920,30,No,Virgilijus Alekna,162,63.9,Equipment issue,4.40853E-71,1.77249E-28
ATH-00836,Betty Yadav,Female,30,10/7/1994,ETH,Ethiopia,Tennis,Women's Singles,Summer,2008,Beijing,Individual,No Medal,3.154,sets,2,5,2,3,0,25,57,1956,30,No,Wei Ping,182.2,74.7,National Record,7.43953E-80,3.61578E-33
ATH-00837,Nikolai Haile,Male,42,1/7/1982,DPR,North Korea,Boxing,Heavyweight,Summer,2004,Athens,Individual,No Medal,2.484,points,2,1,0,1,0,16,54,1964,35,Olympic Record,Bob Bowman,164.5,57.2,-,3.61874E-72,1.43998E-25
ATH-00838,Yuki Johnson,Female,25,4/20/1999,CUB,Cuba,Ski Jumping,Normal Hill Individual,Winter,1936,Garmisch-Partenkirchen,Team,Silver,122.724,metres,1,5,4,1,0,82,226,1900,8,No,Bob Bowman,174.9,54.6,Photo-finish silver,1.10127E-76,1.93875E-24
ATH-00839,Betty Lochte,Female,31,10/8/1993,GRE,Greece,Shooting,Skeet M,Summer,2016,Rio de Janeiro,Individual,No Medal,168.072,points,3,6,5,1,0,34,116,1896,10,No,Hiroshi Hoketsu,184.9,77.3,-,4.99977E-81,2.68557E-34
ATH-00840,Hiroshi Yamamoto,Male,22,12/2/2002,ROM,Romania,Swimming,1500m Freestyle,Summer,2008,Beijing,Individual,Bronze,232.862,seconds,3,3,1,0,2,89,307,1924,8,No,Béla Károlyi,182.2,81.5,-,7.43953E-80,4.02717E-36
ATH-00841,Nigar Kowalski,Female,19,12/3/2005,NZL,New Zealand,Shooting,25m Rapid Fire Pistol,Summer,1912,Stockholm,Individual,No Medal,248.219,points,1,0,0,0,0,46,116,1908,25,No,Vladimir Alekna,177.6,82.4,Disqualified (false start),7.40116E-78,1.63732E-36
ATH-00842,Dorothy Wiśniewski,Female,22,12/27/2002,AUS,Australia,Shooting,25m Rapid Fire Pistol,Summer,1900,Paris,Individual,No Medal,208.613,points,4,8,8,0,0,170,554,1896,4,No,Sandor Szabo,165.2,94.9,Youngest competitor,1.79701E-72,6.10174E-42
ATH-00843,Elena Hernandez,Female,23,10/7/2001,ARMinistration,Armenia,Judo,Extra-Lightweight,Summer,2004,Athens,Individual,Bronze,7.251,ippon,1,5,3,1,1,4,18,1996,50,No,Renato Canova,190.4,54,-,2.04329E-83,3.53263E-24
ATH-00844,Ketevan Yuldashev,Female,37,12/27/1987,IND,India,Rowing,Quadruple Sculls M,Summer,2000,Sydney,Team,Gold,417.959,seconds,2,2,2,0,0,10,35,1900,48,No,Marcus O'Sullivan,182.2,67,-,7.43953E-80,7.9849E-30
ATH-00845,Camelia Wang,Female,41,3/2/1983,FIN,Finland,Wrestling,Greco-Roman 60kg,Summer,1908,London,Individual,No Medal,1.643,points,1,3,1,0,2,161,459,1908,3,No,Yury Zakharevich,177.2,105,National Record,1.10412E-77,2.50657E-46
ATH-00846,Aurelie Wilson,Female,16,1/25/2008,JPN,Japan,Alpine Skiing,Downhill M,Winter,1988,Calgary,Individual,No Medal,282.038,seconds,3,0,0,0,0,170,497,1912,3,No,Wei Ping,167.5,89.7,Withdrew - injury,1.80167E-73,1.10608E-39
ATH-00847,Sarah Makarov,Female,15,12/5/2009,AUT,Austria,Skeleton,Women's Skeleton,Winter,1936,Garmisch-Partenkirchen,Individual,No Medal,70.487,seconds,3,1,1,0,0,59,196,1896,18,No,Yury Zakharevich,167.8,84.6,Photo-finish silver,1.33471E-73,1.81421E-37
ATH-00848,Patrick Watanabe,Male,41,5/17/1983,TUR,Turkey,Taekwondo,-49kg W,Summer,1996,Atlanta,Individual,No Medal,1.039,points,4,7,0,6,1,40,99,1908,22,No,Renato Canova,159,76.6,First from country,8.85477E-70,5.40807E-34
ATH-00849,Fabio Chikovani,Male,23,9/5/2001,BUL,Bulgaria,Cross-Country Skiing,Sprint W,Winter,2010,Vancouver,Individual,No Medal,3420.662,seconds,2,1,0,1,0,54,224,1896,15,Olympic Record,Jon Drummond,188.5,71.9,Disqualified (false start),1.36612E-82,5.94603E-32
ATH-00850,Jae-won Dinu,Male,16,7/7/2008,GBR,Great Britain,Figure Skating,Women's Singles,Winter,2022,Beijing,Individual,No Medal,321.559,points,1,8,7,1,0,285,896,1896,2,No,Andrei Socaci,180.5,72.3,Disqualified (false start),4.07236E-79,3.98574E-32
ATH-00851,Jessica Cherono,Female,42,7/9/1982,GBR,Great Britain,Football (Soccer),Men's Football,Summer,1900,Paris,Team,No Medal,8.212,goals,3,8,0,4,4,285,896,1896,2,No,Renato Canova,193.8,79.3,-,6.81914E-85,3.63452E-35
ATH-00852,Hassan Garcia,Male,27,5/8/1997,NZL,New Zealand,Tennis,Women's Singles,Summer,1920,Antwerp,Individual,No Medal,3.609,sets,5,2,2,0,0,46,116,1908,25,No,Tadashi Suzuki,187.8,84,-,2.75104E-82,3.3057E-37
ATH-00853,Michael Schmidt,Male,28,12/5/1996,FIN,Finland,Fencing,Epee Individual W,Summer,1920,Antwerp,Team,No Medal,7.468,touches,1,8,6,0,2,161,459,1908,3,Olympic Record,Percy Cerutty,173.1,86.1,Weather-affected,6.66232E-76,4.04804E-38
ATH-00854,Bolormaa Ferrari,Female,42,1/6/1982,ESP,Spain,Figure Skating,Ice Dance,Winter,1952,Oslo,Individual,No Medal,281.264,points,3,5,2,1,2,50,170,1900,18,No,Valentin Lalev,161.3,75.3,First from country,8.87769E-71,1.98438E-33
ATH-00855,Maria Amiranashvili,Female,33,9/17/1991,BEL,Belgium,Fencing,Foil Individual M,Summer,1920,Antwerp,Individual,No Medal,5.642,touches,5,1,1,0,0,43,158,1900,20,No,Sandor Szabo,187.1,75.7,-,5.53991E-82,1.33017E-33
ATH-00856,Barbara Ferrari,Female,36,11/2/1988,PAK,Pakistan,Cycling,Omnium,Summer,2008,Beijing,Individual,Bronze,4763.778,seconds,2,3,1,1,1,10,22,1948,45,No,Percy Cerutty,190.4,62.7,-,2.04329E-83,5.88486E-28
ATH-00857,Christopher Biles,Male,37,10/15/1987,HUN,Hungary,Archery,Mixed Team,Summer,2016,Rio de Janeiro,Team,No Medal,269.555,points,2,1,0,0,1,182,536,1896,5,No,Hiroshi Hoketsu,180.4,80.2,Record broken next day,4.50065E-79,1.47769E-35
ATH-00858,Jiri Clark,Male,17,10/25/2007,HUN,Hungary,Archery,Mixed Team,Summer,1896,Athens,Team,No Medal,240.64,points,4,5,3,0,2,182,536,1896,5,No,Bao Chünlai,191.8,89.3,Personal Best,5.0387E-84,1.65007E-39
ATH-00859,Almaz Bekele,Female,32,3/27/1992,AUS,Australia,Swimming,4x100m Medley Relay,Summer,2004,Athens,Individual,No Medal,705.776,seconds,4,3,3,0,0,170,554,1896,4,No,Khristo Hristov,188,74.9,Olympic Debut,2.25236E-82,2.96035E-33
ATH-00860,Anjali Costa,Female,19,1/3/2005,ROM,Romania,Ski Jumping,Normal Hill Team,Winter,1924,Chamonix,Individual,No Medal,102.292,metres,5,1,1,0,0,89,307,1924,8,Olympic Record,Dan Pfaff,170.3,53.6,Youngest competitor,1.09559E-74,5.27006E-24
ATH-00861,Rui Makarov,Male,31,3/3/1993,ITA,Italy,Tennis,Women's Singles,Summer,1904,St. Louis,Individual,No Medal,4.477,sets,1,5,2,3,0,247,753,1900,4,No,Jon Drummond,165.5,92.4,Final Appearance,1.33126E-72,7.43344E-41
ATH-00862,Tamar Davis,Female,39,6/8/1985,GBR,Great Britain,Ski Jumping,Mixed Team,Winter,2022,Beijing,Team,No Medal,107.724,metres,5,6,3,0,3,285,896,1896,2,No,Lauren Lynde,180.3,50.8,Withdrew - injury,4.97399E-79,8.66643E-23
ATH-00863,Fabio Adeyemi,Male,27,10/3/1997,PRK,North Korea,Cycling,Road Race,Summer,2000,Sydney,Individual,No Medal,3322.038,seconds,2,7,1,2,4,16,54,1964,35,No,Franz Stampfl,170.7,60.3,Season Best,7.34399E-75,6.48698E-27
ATH-00864,Rahul Navruzov,Male,18,8/21/2006,BEL,Belgium,Luge,Team Relay,Winter,1994,Lillehammer,Individual,No Medal,161.949,seconds,2,8,2,4,2,43,158,1900,20,Olympic Record,Renato Canova,192.5,92.9,Weather-affected,2.50214E-84,4.50861E-41
ATH-00865,Sakura Oliveira,Female,24,4/16/2000,TUR,Turkey,Athletics,Decathlon,Summer,2016,Rio de Janeiro,Individual,No Medal,188.015,seconds,1,8,2,3,3,40,99,1908,22,No,Béla Károlyi,173.5,90.5,-,4.46588E-76,4.96992E-40
ATH-00866,Rui Jackson,Male,31,6/19/1993,MGL,Mongolia,Speed Skating,1500m W,Winter,1988,Calgary,Individual,No Medal,1091.351,seconds,2,4,2,2,0,3,21,1964,52,No,Glen Mills,192.9,84.4,First from country,1.67724E-84,2.21588E-37
ATH-00867,Salome Esposito,Female,41,9/21/1983,CZE,Czech Republic,Ski Jumping,Mixed Team,Winter,2006,Turin,Team,Silver,89.551,metres,5,8,4,1,3,32,114,1996,28,No,Jon Drummond,182.6,61.9,Personal Best,4.98686E-80,1.3097E-27
ATH-00868,Tsend-Ochir Watanabe,Male,21,2/6/2003,RSA,South Africa,Short Track Speed Skating,5000m Relay M,Winter,1968,Grenoble,Individual,No Medal,294.354,seconds,5,2,1,1,0,23,90,1904,30,Olympic Record,Yury Zakharevich,173.1,80.1,Photo-finish silver,6.66232E-76,1.6331E-35
ATH-00869,Kiran Yohannes,Male,15,11/15/2009,IND,India,Basketball,Women's Basketball,Summer,1920,Antwerp,Team,No Medal,31.502,points,5,4,4,0,0,10,35,1900,48,No,Hiroshi Hoketsu,197.3,89.5,Technical violation,2.0592E-86,1.35096E-39
ATH-00870,Mykola Robert,Male,41,1/12/1983,PRK,North Korea,Football (Soccer),Women's Football,Summer,2008,Beijing,Team,No Medal,11.761,goals,3,1,0,1,0,16,54,1964,35,No,Vladimir Alekna,164,84.1,Comeback after injury,5.9663E-72,2.99112E-37
ATH-00871,Lisa Babayev,Female,27,10/13/1997,ARG,Argentina,Basketball,3x3 Men's,Summer,1920,Antwerp,Team,No Medal,31.88,points,5,1,0,0,1,23,77,1920,30,No,Dan Pfaff,191.7,95.6,Withdrew - injury,5.56862E-84,3.03003E-42
